Round,plot-lane,treatment,vlost
Round 1,A1,control,0.46
Round 1,A1,F+P,0.32
Round 1,B1,control,0.27
Round 1,B1,F+P,0.43
Round 1,C1,control,0.44
Round 1,C1,F+P,0.36
Round 1,D1,control,0.39
Round 1,D1,F+P,0.46
Round 1,E1,control,0.48
Round 1,E1,F+P,0.43
Round2,A2,control,0.47
Round2,A2,F+P,0.42
Round2,B2,control,0.34
Round2,B2,F+P,0.37
Round2,C2,control,0.51
Round2,C2,F+P,0.37
Round2,D2,control,0.49
Round2,D2,F+P,0.44
Round2,E2,control,0.34
Round2,E2,F+P,0.41
Round3,A1,control,0.45
Round3,A1,F+P,0.64
Round3,B1,control,0.4
Round3,B1,F+P,0.72
Round3,C1,control,0.42
Round3,C1,F+P,0.44
Round3,D1,control,0.48
Round3,D1,F+P,0.32
Round3,E1,control,0.49
Round3,E1,F+P,0.52
Round4,A2,control,0.46
Round4,A2,F+P,0.38
Round4,B2,control,0.44
Round4,B2,F+P,0.35
Round4,C2,control,0.49
Round4,C2,F+P,0.49
Round4,D2,control,0.43
Round4,D2,F+P,0.93
Round4,E2,control,0.45
Round4,E2,F+P,0.72
Round4,F2,control,0.48
Round4,F2,F+P,0.5
Round4,G2,control,0.5
Round4,G2,F+P,0.39
Round4,H2,control,0.5
Round4,H2,F+P,0.49
Round4,I2,control,0.41
Round4,I2,F+P,0.47
Round5,A1,control,0.48
Round5,A1,F+P,0.4
Round5,B1,control,0.53
Round5,B1,F+P,0.48
Round5,C1,control,0.41
Round5,C1,F+P,0.52
Round5,D1,control,0.4
Round5,D1,F+P,0.53
Round5,E1,control,0.49
Round5,E1,F+P,0.43
Round5,F1,control,0.3
Round5,F1,F+P,0.28
Round5,G1,control,0.39
Round5,G1,F+P,0.37
Round5,H1,control,0.44
Round5,H1,F+P,0.5
