Round,treatment,vlost,,
Round 1,control,0.46,,
Round 1,F+P,0.32,,
Round 1,control,0.27,,
Round 1,F+P,0.43,,
Round 1,control,0.44,,
Round 1,F+P,0.36,,
Round 1,control,0.39,,
Round 1,F+P,0.46,,
Round 1,control,0.48,,
Round 1,F+P,0.43,,
Round2,control,0.47,,
Round2,F+P,0.42,,
Round2,control,0.34,,
Round2,F+P,0.37,,
Round2,control,0.51,,
Round2,F+P,0.37,,
Round2,control,0.49,,
Round2,F+P,0.44,,
Round2,control,0.34,,
Round2,F+P,0.41,,
Round3,control,0.45,,
Round3,F+P,0.64,,
Round3,control,0.4,,
Round3,F+P,0.72,,
Round3,control,0.42,,
Round3,F+P,0.44,,
Round3,control,0.48,,
Round3,F+P,0.32,,
Round3,control,0.49,,
Round3,F+P,0.52,,
Round4,control,0.46,,
Round4,F+P,0.38,,
Round4,control,0.44,,
Round4,F+P,0.35,,
Round4,control,0.49,,
Round4,F+P,0.49,,
Round4,control,0.43,,
Round4,F+P,0.93,,
Round4,control,0.45,,
Round4,F+P,0.72,,
Round4,control,0.48,,
Round4,F+P,0.5,,
Round4,control,0.5,,
Round4,F+P,0.39,,
Round4,control,0.5,,
Round4,F+P,0.49,,
Round4,control,0.41,,
Round4,F+P,0.47,,
Round5,control,0.48,,
Round5,F+P,0.4,,
Round5,control,0.53,,
Round5,F+P,0.48,,
Round5,control,0.41,,
Round5,F+P,0.52,,
Round5,control,0.4,,
Round5,F+P,0.53,,
Round5,control,0.49,,
Round5,F+P,0.43,,
Round5,control,0.3,,
Round5,F+P,0.28,,
Round5,control,0.39,,
Round5,F+P,0.37,,
Round5,control,0.44,,
Round5,F+P,0.5,,
Round 1,fence,0.18,,
Round 1,fence,0.24,,
Round 1,fence,0.11,,
Round 1,fence,0.28,,
Round 1,fence,0.29,,
Round2,fence,0.19,,
Round2,fence,0.17,,
Round2,fence,0.22,,
Round2,fence,0.23,,
Round2,fence,0.22,,
Round3,fence,0.23,,
Round3,fence,0.32,,
Round3,fence,0.18,,
Round3,fence,0.2,,
Round3,fence,0.28,,
Round4,fence,0.18,,
Round4,fence,0.17,,
Round4,fence,0.22,,
Round4,fence,0.32,,
Round4,fence,0.24,,
Round4,fence,0.31,,
Round4,fence,0.19,,
Round4,fence,0.25,,
Round4,fence,0.28,,
Round5,fence,0.19,,
Round5,fence,0.25,,
Round5,fence,0.27,,
Round5,fence,0.29,,
Round5,fence,0.24,,
Round5,fence,0.12,,
Round5,fence,0.18,,
Round5,fence,0.16,,
Round 1,plate,0.14,,
Round 1,plate,0.19,,
Round 1,plate,0.25,,
Round 1,plate,0.18,,
Round 1,plate,0.14,,
Round2,plate,0.23,,
Round2,plate,0.2,,
Round2,plate,0.15,,
Round2,plate,0.21,,
Round2,plate,0.19,,
Round3,plate,0.41,,
Round3,plate,0.4,,
Round3,plate,0.26,,
Round3,plate,0.12,,
Round3,plate,0.24,,
Round4,plate,0.2,,
Round4,plate,0.18,,
Round4,plate,0.27,,
Round4,plate,0.61,,
Round4,plate,0.48,,
Round4,plate,0.19,,
Round4,plate,0.24,,
Round4,plate,0.24,,
Round4,plate,0.19,,
Round5,plate,0.21,,
Round5,plate,0.23,,
Round5,plate,0.25,,
Round5,plate,0.24,,
Round5,plate,0.19,,
Round5,plate,0.16,,
Round5,plate,0.19,,
Round5,plate,0.24,,
